"48.ÿÿ When I was younger, I _________ swim ten miles.",can,might,would,could
49.ÿÿ He always drives too ________.,fastly ,fast,quick,hard
"50.ÿÿ If I _________ million pounds, I would buy house.",have,had,will have,would have
"51.ÿÿ It is May. ?In June I _________ finished my exams.""",have,will hace,---,am going to
52.ÿÿ It?s the fifteenth ______ March.,of,from,in,---
53.ÿÿ The shoes  _______ in Italy.,is made,made,are made,make
54.ÿÿ She said that he ________ shopping.,is gone,be gone,had gone,was gone
"55.ÿÿ When I saw John last Sunday he was tired, he _______ party the night before.",was to  , has been to , had been to  ,I don?t know 
56.ÿÿ I have been working here ______ 1990.,for,since,now,I don?t know 
57.ÿÿ There is the woman ________ shot the president.,what,Who,which,I don?t know 
58.ÿÿ Rosemary is cousin of _______.,myself,mine,me,I don?t know 
59.ÿÿ _______ is not just his sport it?s his hobby.,To tog , Jogging,Jog,I don?t know 
60.ÿÿ Where shall we meet _______ at the stadium?,us,each other , ourselves ,I don?t know 
"61.ÿÿ When the phone rang, she _______ the meal.", was cooking ,cooked     ,has cooked,I don?t know 
62.ÿÿ The only thing ______ matters is life., that,what,who,I don?t know 
63.ÿÿ We _______ like to thank you for your application., could  ,would,will,I don?t know 
64.ÿÿ The plane _______ in at seven o?clock last night.,flied,flew,has flown,I don?t know 
"65.ÿÿ ?_______ you run ten miles?? ?Yes, but I haven?t for long time.?",Will,Can,Could,I don?t know 
66.ÿÿ The President always works ________.,hardily,hard,very much,I don?t know 
"67.ÿÿ If it rains, you _______ take taxi.",will,would,should,I don?t know 
"68.ÿÿ This time next week , I _______________on the beach. ",be lying,am liying,will be liying,I don?t know 
69.ÿÿ He put the papers ___________the drawer.,into,onto,at,I don?t know 
"70.ÿÿ On the News. ?The President _____________shot.""",is,was,has been,I don?t know 
71.ÿÿ After she said that I _____________her to stop seeing him.,tell,have told,told,I don?t know 
72.ÿÿ He told us that after visiting JamaicHe ______________the US.,visits,had visited,was visiting,I don?t know 
73.ÿÿ How long have you worked here__________________?,since,for,years,I don?t know 
74.ÿÿ Have you seen the book ________________I was reading?,who,that,what,I don?t know 
75.ÿÿ He is always thinking about ___________.,Him,Himself,He,I don?t know 
76.ÿÿ I can?t help__________ her.,to like,liking,like,I don?t know 
77.ÿÿ She gets paid more than __________.,myself,me,I,I don?t know 
"78.ÿÿ ?What _______________at seven o?clock yesterday evening?? ""I was watching T.V.?",did you do,were you doing,did you,I don?t know 
79.ÿÿ ____________he said made me very angry.,Taht,What,Wich,I don?t know 
"80.ÿÿ ? You ______________accompany us, sir,? the policeman said.",will,would,Could,I don?t know 
81.ÿÿ Shakespeare__________ many  plays.,has written,had written,wrote,I don?t know 
82.ÿÿ You ________have been here  an hour ago. But you didn?t  show up.,should,Could,would,I don?t know 
83.ÿÿ The Herald Tribune is _______paper.,day,daily,every day,I don?t know 
"84.ÿÿ I would tell you his name, If I _____it.", would know,Know,Knew,I don?t know 
"85.ÿÿ This year, my New Year?s resolutions are that I ________ learn tennis, buy car, sell my house, etc.",  will   ,am going to ,---,I don?t know 
86.ÿÿ Could you translate this document ______ Latin?,in,to,into,I don?t know 
87.ÿÿ The winner ______ prize.,gives,is given,has given,I don?t know 
88.ÿÿ I asked her if she ________ marry me.,will,Would,can,I don?t know 
"89.ÿÿ After I _______________  for couple of hours, I decided to stop.",was swimming ,had been swimming ,swim,I don?t know 
90.ÿÿ He was studying at university ________ three years.,since,during,for,I don?t know 
91.ÿÿ good architect is one ______ houses don?t collapse.,wich,who,whose,I don?t know 
92.ÿÿ The street lights switch ______on in the evening.,them, theirselves,themselves,I don?t know 
93.ÿÿ He considered _______ himself to the board.,to introduce,introducing, to be introducing,I don?t know 
94.ÿÿ Britain exports more than ______ imports.,she,he,it,I don?t know 
95.ÿÿ He _________ his leg while he_______ rugby.," was breaking, played "," broke, was playing","breaks, is playing",I don?t know 
96.ÿÿ This is Mike Smith _____ works with my friend.,whose,that,who,Which
"97.ÿÿ __________ I help you, sir?",Might,Could ,May,I don?t know 
98.ÿÿ They ________ the jewellery and walked out of the retail outlet as if they hadn?t done anything.,had stolen,have stolen,stole,I don?t know 
99.ÿÿ I ____________ get up at six  o?clock this morning with much difficulty.,could,managed to,can,I don?t know 
