"","Sie hat mir fest versprochen, dass _.","a) in Zukunft wird sie nicht mehr zu spät kommen.","b) sie in Zukunft nicht mehr zu spät kommen wird.","c) wird sie in Zukunft nicht mehr zu spät kommen.","d) zu spät kommen wird sie in Zukunft nicht mehr."
"","_, wie spät es ist?","a) Kennen Sie","b) Weiss sie","c) Können Sie","d) Wissen Sie"
"","Wen habt ihr denn zu eurer Hochzeit eingeladen? - Nur Leute, _ wir schon länger kennen.","a) das","b) die","c) was","d) welchen"
"","Kannst du mir sagen, _du die Schlüssel gefunden hast?","a) wo","b) woher","c) wovon","d) wozu"
"","Er ist heute schon um 6 Uhr gegangen, _ er hatte sich mit einer neuen Freundin verabredet.","a) denn","b) deshalb","c) wiel","d) weshalb"
"","Ich weiβ nicht genau, ob _.","a) die Banken hier auch samstags offen sind.","b) die Baken sind hier auch samstags offen.","c) hier sind die Banken auch samstags offen.","d) sind die Banken hier auch samstags offen."
"","Es muss immer wieder klar _, dass das Rauchen gefährlich für die Gesundheit ist.","a) gesagt hat","b)gesagt wird","c) gesagt sein","d) gesagt werden"
"","Nachdem er die Schule _ , begann er eine Lehre als Bankkaufmann.","a) verlassen","b) verliess","c) verlässt","d) verlassen wird"
"","Vorsicht _ dem Hund.","a) nach","b) für","c) von","d) vor"
"","Ich habe _ einem halben Jahr angefangen, Englisch zu lernen.","a) auf","b) mit","c) von","d) vor"
"","Es _ ihn, dass du immer zu spät kommst.","a) freut","b) hasst","c) mag","d) stört"
"","Andreas träumt immer _ einem Leben in der Schweiz.","a) von","b) mit","c) an","d) über"
"","Er schrieb einen Brief, während das Radio _.","a) läuft","b) lief","c) laufen wird","d) gelaufen"
"","Er war im Jahr 1890 geboren und _ im Jahr 1940.","a) wird sterben","b) starbst","c) ist gestorbend)","starb"
"","Ich muss ins Krankenhaus _ eines Magengeschwürs.","a) für","b) mit","c) wegen","d) von"
"","Er _ nicht, was der Lehrer sagte."a) bestand","b) verstand","c) gestand","d) besteht"
"","Ich glaube nicht, dass er den Raub _.","a) vergangen ist.","b) gegangen ist.","c) begangen hat.","d) ergangen ist."
"","Ist Ute schon da? – Moment mal, ich höre sie gerade _.","a) gekommen.","b) kommen.","c) kommt.","d) zu kommen."
"","Der Friedhof wird jeden Tag _.","a) gewaschen.","b) gesaubert.","c) gespült.","d) gesaugt."
"","Ich würde dir helfen, wenn ich _.","a) kann.","b) könntest.","c) kannst.","d) könnte."
"","Die Arbeitnehmer müssen flexible sein.","richtig","falsch","",""
"","Viele Berufe gibt es bald nicht mehr.","richtig","falsch","",""
"","Es gibt viele neue Berufe.","richtig","falsch","",""
"","Wer am schnellsten eine Arbeit machen kann, bekommt den Auftrag.","richtig","falsch","",""
"","Zusammenarbeit mit anderen ist notwendig.","richtig","falsch","",""
